risk_id,stock_code,company_name,risk_category,risk_flag,risk_description,source_id,severity,human_review_required,mitigation_or_next_step
RISK-00021,00007.HK,智富资源投资,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00022,00008.HK,电讯盈科,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00023,00008.HK,电讯盈科,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00024,00008.HK,电讯盈科,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00025,00010.HK,恒隆集团,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00026,00010.HK,恒隆集团,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00027,00010.HK,恒隆集团,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00028,00012.HK,恒基地产,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00029,00012.HK,恒基地产,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00030,00012.HK,恒基地产,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00031,00013.HK,和黄医药,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00032,00013.HK,和黄医药,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00033,00013.HK,和黄医药,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00034,00014.HK,希慎兴业,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00035,00014.HK,希慎兴业,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00036,00014.HK,希慎兴业,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00037,00016.HK,新鸿基地产,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00038,00016.HK,新鸿基地产,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00039,00016.HK,新鸿基地产,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00040,00017.HK,新世界发展,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00041,00017.HK,新世界发展,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00042,00017.HK,新世界发展,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00043,00018.HK,东方传媒集团,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00044,00018.HK,东方传媒集团,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00045,00018.HK,东方传媒集团,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00046,00019.HK,太古股份公司Ａ,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00047,00019.HK,太古股份公司Ａ,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00048,00019.HK,太古股份公司Ａ,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00049,00020.HK,商汤－Ｗ,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00050,00020.HK,商汤－Ｗ,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00051,00020.HK,商汤－Ｗ,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00052,00021.HK,大中华控股,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00053,00021.HK,大中华控股,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00054,00021.HK,大中华控股,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00055,00022.HK,茂盛控股,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00056,00022.HK,茂盛控股,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00057,00022.HK,茂盛控股,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00058,00023.HK,东亚银行,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00059,00023.HK,东亚银行,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00060,00023.HK,东亚银行,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00061,00025.HK,CHEVALIER INT'L,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00062,00025.HK,CHEVALIER INT'L,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00063,00025.HK,CHEVALIER INT'L,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00064,00026.HK,中华汽车,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00065,00026.HK,中华汽车,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00066,00026.HK,中华汽车,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00067,00027.HK,银河娱乐,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00068,00027.HK,银河娱乐,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00069,00027.HK,银河娱乐,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00070,00028.HK,天安,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00071,00028.HK,天安,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00072,00028.HK,天安,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00073,00029.HK,达力集团,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00074,00029.HK,达力集团,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00075,00029.HK,达力集团,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00076,00030.HK,云白国际,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00077,00030.HK,云白国际,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00078,00030.HK,云白国际,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00079,00031.HK,航天控股,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00080,00031.HK,航天控股,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00081,00031.HK,航天控股,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00082,00032.HK,港通控股,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00083,00032.HK,港通控股,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00084,00032.HK,港通控股,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00085,00033.HK,INTL GENIUS,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00086,00033.HK,INTL GENIUS,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00087,00033.HK,INTL GENIUS,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00088,00034.HK,九龙建业,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00089,00034.HK,九龙建业,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00090,00034.HK,九龙建业,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00091,00035.HK,远东发展,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00092,00035.HK,远东发展,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00093,00035.HK,远东发展,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00094,00036.HK,远东控股国际,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00095,00036.HK,远东控股国际,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00096,00036.HK,远东控股国际,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00097,00037.HK,远东酒店实业,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00098,00037.HK,远东酒店实业,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00099,00037.HK,远东酒店实业,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00100,00038.HK,第一拖拉机股份,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00101,00038.HK,第一拖拉机股份,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00102,00038.HK,第一拖拉机股份,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00103,00039.HK,中国北大荒,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00104,00039.HK,中国北大荒,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00105,00039.HK,中国北大荒,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00106,00040.HK,金山科技工业,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00107,00040.HK,金山科技工业,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00108,00040.HK,金山科技工业,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00109,00041.HK,鹰君,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00110,00041.HK,鹰君,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00111,00041.HK,鹰君,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00112,00042.HK,东北电气,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00113,00042.HK,东北电气,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00114,00042.HK,东北电气,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00115,00045.HK,大酒店,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00116,00045.HK,大酒店,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00117,00045.HK,大酒店,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00118,00046.HK,科联系统,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00119,00046.HK,科联系统,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00120,00046.HK,科联系统,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00121,00048.HK,中国汽车内饰,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00122,00048.HK,中国汽车内饰,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00123,00048.HK,中国汽车内饰,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00124,00050.HK,香港小轮（集团）,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00125,00050.HK,香港小轮（集团）,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00126,00050.HK,香港小轮（集团）,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00127,00051.HK,海港企业,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00128,00051.HK,海港企业,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00129,00051.HK,海港企业,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00130,00052.HK,大快活集团,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00131,00052.HK,大快活集团,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00132,00052.HK,大快活集团,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00133,00053.HK,国浩集团,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00134,00053.HK,国浩集团,audit,unknown,Generator screening flagged audit: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00135,00053.HK,国浩集团,major_risk,unknown,Generator screening flagged major_risk: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
RISK-00136,00055.HK,中星集团控股,suspension,unknown,Generator screening flagged suspension: unknown.,AKSHARE_HK_SNAPSHOT_CACHE,medium,No,Track in risk matrix; no blocking sign-off until promoted into material review scope.
